Breed,Premium
Affenpinscher,81.77
Afghan Hound,63.4856
Airedale Terrier,91.16790697674419
Akbash Dog,114.9
Akita,115.02482954545454
Alaskan Klee Kai,76.60600000000001
Alaskan Malamute,82.3503734439834
American Bandogge Mastiff,234.53
American Black and Tan Coonhound,55.85857142857143
American Bulldog,92.17491803278689
American Bully,100.6104255319149
American Cocker Spaniel,81.5989756097561
American English Coonhound,64.055
American Eskimo,69.43802816901409
American Foxhound,56.31131578947368
American Hairless Terrier,59.18
American Mastiff,95.42
American Pitbull Terrier,103.43060518731988
American Staffordshire Bull Terrier,74.67717391304348
American Staffordshire Terrier,112.41248837209302
American Water Spaniel,46.63
Anatolian Shepherd,131.87692307692308
Anatolian/Karabash Shepherd,100.83
Argentine Dogo,103.72148148148149
Aussalier,110.57
Aussiedoodle,67.9668487394958
Australian Cattle Dog,67.68697986577182
Australian Cattle Dog/Blue Heeler,70.39759124087591
Australian Cattle Dog/Red Heeler,73.41645161290322
Australian Kelpie,98.26750000000001
Australian Labradoodle,64.9752424706483
Australian Shepherd,73.54165818921668
Australian Silky Terrier,61.948
Australian Terrier,80.03
Bantam Bulldog,192.78
Barbet,54.44882352941176
Basenji,102.08636363636364
Basset Fauve de Bretagne,80.74600000000001
Basset Hound,87.1887318087318
Beagle,90.11057954545454
Bearded Collie,114.49676923076922
Beauceron,73.09209302325581
Bedlington Terrier,79.86473684210527
Belgian Malinois,111.06693877551022
Belgian Sheepdog,81.51
Bergamasco Sheepdog,237.13
Berger Picard/Picardy Sheepdog,68.9625
Bernedoodle,77.24317094017094
Bernese Mountain Dog,116.69178877887789
Bichon Frise,72.60213161659513
Biewer,62.28893333333333
Black Russian Terrier,180.39073529411763
Black and Tan Coonhound,63.228421052631575
Blackmouth Cur,78.78545454545454
Bloodhound,72.31509433962265
Blue Tick Coonhound,100.48066666666666
Boerboel,106.82062499999999
Bolognese,61.09444444444445
Border Collie,71.24135910224439
Border Terrier,79.39054945054944
Borzoi/Russian Wolfhound,78.31333333333333
Boston Terrier,73.28428387925499
Bouvier des Flandres,70.34471264367816
Boxer,104.66279054054054
Boykin Spaniel,59.378085106382976
Bracco Italiano,63.76
Briard,151.79000000000002
Brittany,81.25432432432432
Brittany Spaniel,96.73895652173913
Brussels Griffon (Brabancon),69.57508670520231
Bull Boxer,74.51559322033899
Bull Terrier,83.82469026548674
Bull Terrier - Standard,109.48962962962962
Bullmastiff,87.98842105263157
Cairn Terrier,75.6225
Canary,67.34
Cane Corso,126.04530158730158
Cardigan Welsh Corgi,71.96906249999999
Catahoula Cur/Leopard Dog,74.1201219512195
Cavalier King Charles Spaniel,67.77518897287683
Cavapoo,73.4119410745234
Central Asian Shepherd,70.6
Chesapeake Bay Retriever,84.6975
Chihuahua,67.2
Chihuahua (Short Coat),64.48584255842559
Chinese Crested,98.27448717948718
Chipom,87.93651515151515
Chow Chow,92.64888888888888
Cirneco dell'Etna,49.24571428571429
Clumber Spaniel,55.550476190476196
Cobber Dog,43.63
Cockapoo,62.83256926952141
Cocker Spaniel,102.99647619047619
Collie - Rough,80.94376543209876
Collie - Smooth,57.43116071428572
Coonhound,66.84125
Coton de Tulear,67.36934097421204
Curly-Coated Retriever,62.71
Dachshund - Standard Long Haired,90.75152777777778
Dachshund - Standard Smooth Haired,72.26960563380281
Dachshund - Standard Wire Haired,75.84019607843138
Dalmatian,71.65936305732484
Dandie Dinmont Terrier,72.29714285714286
Dingo/Carolina,99.12911764705882
Doberman Pinscher,117.32302538071065
Dogue de Bordeaux,121.09019607843138
Double Doodle,47.48207792207792
Doxiepoo,52.75
Drever,39.5
Dutch Shepherd,56.37805555555556
English Bulldog,112.55686227951153
English Cocker Spaniel,91.36473988439306
English Foxhound,140.6638888888889
English Mastiff,114.42650246305418
English Setter,73.55857142857143
English Shepherd,72.31583333333333
English Springer Spaniel,67.64056053811659
English Toy Spaniel,38.839999999999996
Entlebucher Mountain Dog,91.34205882352941
Eurasian/Eurasier,76.86
Feist,47.55714285714286
Field Spaniel,70.98757575757577
Finnish Lapphund,57.7
Flat-Coated Retriever,117.70722222222223
Formosan (Taiwanese) Mountain Dog,70.74255813953488
Fox Terrier,51.435
French Bulldog,118.91615268043189
Frenchton,69.90286713286714
Ganaraskan,36.06
German Pinscher,70.95
German Shepherd,90.79670842332614
German Shorthaired Pointer,72.17204545454547
German Spitz,62.99
German Wirehaired Pointer,69.68063829787233
Giant Schnauzer,90.32491228070177
Glen of Imaal Terrier,42.16
Golden Retriever,79.0504514204177
Goldendoodle,59.488176747428966
Gordon Setter,60.12
Great Dane,108.61919811320756
Greater Swiss Mountain Dog,95.01650887573965
Greyhound,94.23171122994651
Havana Silk,22.61
Havanese,61.30401629072682
Hovawart,95.405
Irish Red and White Setter,68.35047619047619
Irish Setter,91.52438095238095
Irish Terrier,117.33714285714287
Irish Wolfhound,131.534425087108
Italian Greyhound,79.48264150943396
Jack Russell Terrier,75.57165184243965
Japanese Chin (Spaniel),51.920857142857145
Kai Ken,96.11666666666667
Karelian Bear Dog,72.82
Keeshond,68.01464285714285
Kerry Blue Terrier,61.69095238095238
Komondor,87.79
Kooikerhondje,42.49363636363636
Korean Jindo,69.24
Kuvasz,42.888172043010755
Labradoodle,57.602672141503476
Labrador Retriever,84.27455731593663
Labrador Retriever (Black),89.54402924451665
Labrador Retriever (Chocolate),90.59880638445524
Labrador Retriever (Yellow),93.4041539081386
Lagotto Romagnolo,101.41513725490196
Lakeland Terrier,148.33823529411765
Landseer,77.96333333333334
Leonberger,155.31621848739496
Lhasa Apso,79.38878260869566
Long Haired Chihuahua,72.68383720930233
Lowchen,48.48
Malinois Belgian Shepherd,103.2209090909091
Maltese,77.28815608263197
Maltipoo,60.84150264550264
Manchester Terrier,108.81636363636363
Maremma,59.76615384615384
Mastiff,102.8526582278481
Mexican Hairless,75.33
Mi-Ki,97.19666666666667
Miniature Australian Shepherd,66.94770061728396
Miniature Bull Terrier,80.79582278481013
Miniature Goldendoodle,49.89685344827586
Miniature Labradoodle,56.20526946107785
Miniature Long Haired Dachshund,83.75254125412542
Miniature Pinscher,92.57328502415459
Miniature Schnauzer,68.88989361702127
Miniature Smooth Haired Dachshund,68.72137670196672
Miniature Wire Haired Dachshund,65.61190476190475
Mixed breed (Unknown size),72.25998167827042
Mixed breed Giant (more than 90lbs when full grown),104.71608626198083
Mixed breed Large (55 â€“ 90lbs when full grown),81.33983464091732
Mixed breed Medium (20 - 55lbs when full grown),72.16159469545515
Mixed breed Small (up to 20lbs when full grown),70.75684665936473
Morkie,60.33447115384615
Mountain Cur,52.35
Mudi,59.65
Native American Indian,66.73473684210526
Neapolitan Mastiff,117.32727272727271
Newfoundland,131.65702302631578
Norfolk Terrier,71.17777777777778
Northern Inuit,38.775000000000006
Norwegian Elkhound,75.97727272727273
Norwich Terrier,66.045
Nova Scotia Duck Tolling Retriever,96.79720930232557
Old Boston Bulldogge,109.10499999999999
Old English Mastiff,57.56421052631579
Old English Sheepdog,110.80747663551402
Old Victorian Bulldogge,45.96454545454545
Olde English Bulldog,105.08653735632183
Papillon,64.74803278688525
Parson Russell Terrier,74.08333333333333
Patterdale/Fell Terrier,39.5125
Pekingese,75.29955056179774
Pembroke Welsh Corgi,82.33815848214286
Perro de Presa Canario,66.94333333333333
Petit Basset Griffon Vendeen,63.44
Plott,45.08880952380952
Pointer,100.10904411764706
Polish Lowland Sheepdog,96.24626666666666
Pomapoo,43.3925
Pomeranian,75.85252047315741
Pomsky,62.01566666666667
Poochon,46.997368421052634
Poodle-Miniature,73.44025245441796
Poodle-Standard,85.62423215573179
Poodle-Toy,72.5663369397218
Porkie,138.61
Portuguese Water,56.435
Portuguese Water Dog,75.2263448275862
Pudelpointer,83.80684210526316
Pug,88.48256191289497
Puggle,65.26683098591549
Puli,46.38826086956522
Pumi,79.02
Pyrenean Mountain Dog (Great Pyrenees),93.07087591240875
Rat Terrier,66.05825503355705
Redbone Coonhound,64.19826086956522
Rhodesian Ridgeback,97.17231325301205
Rottweiler,116.62726631393299
Russian Bolonka,38.94
Saint Bernard,113.32497816593886
Saluki (Gazelle Hound),86.35818181818182
Samoyed,89.72436507936509
Schipperke,108.98809523809524
Schnauzer - Standard,76.65157894736842
Schnoodle,64.67156424581005
Scottish (Scottie)/Aberdeen Terrier,65.23666666666666
Scottish Deerhound,83.55300000000001
Scottish Terrier,61.96109589041096
Sealyham Terrier,41.72
Shar Pei,102.89701492537314
Sheepadoodle,73.37773462783171
Shetland Sheepdog,71.01054919908466
Shiba Inu,72.87765048543689
Shih Tzu,61.10708647290994
Shihpoo,61.59880341880342
Shikoku,67.25666666666666
Shiloh Shepherd,85.0422
Siberian Husky,78.3901275510204
Silken Windhound,71.205
Silky Terrier,57.21597122302158
Small Munsterlander,146.79
Smooth Fox Terrier,69.22666666666667
Snoodle,54.475
Soft Coated Wheaten Terrier,85.01758389261745
Spanish Mastiff,152.73
Spanish Water Dog,52.17428571428571
Spinone Italiano,60.72234567901235
Springer Spaniel,98.12765957446808
St. Johns Waterdog,59.3
Stabyhoun (Stabij),66.67714285714285
Staffordshire Bull Terrier,99.09836956521738
Terrier,61.628133640552996
Terripoo,36.91
Tervuren Belgian Shepherd,58.06133333333333
Texas Blue Lacey,72.34
Tibetan Mastiff,153.74105263157895
Tibetan Spaniel,74.6847619047619
Tibetan Terrier,71.91108108108108
Toy Australian Shepherd,40.45862068965517
Toy Fox Terrier,51.06
Treeing Walker Coonhound,76.22670588235293
Victorian Bulldog,90.17371428571428
Vizsla,78.99413306451612
Weimaraner,91.80450765864332
Welsh Springer Spaniel,110.80714285714285
Welsh Terrier,96.61607594936709
West Highland White Terrier,70.97998168498168
Whippet,101.3116504854369
Wire Fox Terrier,78.57116504854369
Wirehair Vizsla,99.04649122807017
Wirehaired Pointing Griffon,66.70150943396226
Yorkiepoo,74.76965079365078
Yorkshire Terrier,80.30815533980582
